                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1321,                0.83118,                  1.049,                0.82337,                0.68686,                0.77022,                 0.5138,                 1.2331,                0.89866,                 1.0937,               0.003169,               0.003169,               0.003169
                     72,                  1.126,                0.82692,                 1.0457,                0.82168,                  0.688,                0.76991,                0.51351,                 1.2319,                0.89982,                  1.092,                0.00307,                0.00307,                0.00307
                     73,                 1.1264,                 0.8245,                 1.0449,                0.82046,                0.68628,                0.77017,                0.51409,                 1.2335,                0.89905,                 1.0923,               0.002971,               0.002971,               0.002971
                     74,                 1.1238,                0.82323,                 1.0461,                0.82168,                0.68468,                0.77057,                0.51444,                 1.2316,                0.89578,                 1.0916,               0.002872,               0.002872,               0.002872
                     75,                 1.1195,                0.82043,                 1.0444,                0.82543,                0.68767,                0.77106,                 0.5156,                 1.2306,                0.89509,                 1.0913,               0.002773,               0.002773,               0.002773
                     76,                 1.1159,                0.81743,                 1.0438,                0.81925,                0.69006,                0.77027,                0.51471,                 1.2318,                0.89485,                 1.0918,               0.002674,               0.002674,               0.002674
                     77,                 1.1129,                0.81172,                 1.0396,                0.81728,                0.69094,                0.77024,                0.51507,                 1.2314,                0.89439,                  1.092,               0.002575,               0.002575,               0.002575
                     78,                 1.1095,                 0.8072,                 1.0386,                  0.821,                0.69247,                 0.7714,                0.51654,                 1.2313,                0.89211,                 1.0919,               0.002476,               0.002476,               0.002476
                     79,                 1.1128,                0.80853,                 1.0392,                0.82519,                0.68751,                0.77134,                0.51634,                   1.23,                0.89221,                 1.0917,               0.002377,               0.002377,               0.002377
                     80,                 1.1071,                0.80551,                 1.0398,                0.82707,                0.68568,                0.77108,                 0.5166,                 1.2301,                0.89117,                  1.092,               0.002278,               0.002278,               0.002278
                     81,                 1.1105,                0.80391,                  1.039,                0.83143,                  0.683,                0.77196,                0.51744,                 1.2299,                0.88928,                 1.0913,               0.002179,               0.002179,               0.002179
                     82,                 1.1041,                0.80105,                 1.0346,                 0.8289,                0.68553,                0.77281,                0.51816,                   1.23,                0.88866,                 1.0915,                0.00208,                0.00208,                0.00208
                     83,                 1.1011,                 0.7958,                 1.0347,                0.82473,                0.68983,                0.77267,                0.51838,                 1.2302,                0.88777,                  1.091,               0.001981,               0.001981,               0.001981
                     84,                 1.0999,                0.79434,                 1.0359,                0.82492,                0.68895,                0.77226,                0.51777,                 1.2309,                 0.8875,                 1.0908,               0.001882,               0.001882,               0.001882
                     85,                 1.1005,                 0.7943,                  1.034,                0.82659,                0.68821,                0.77306,                0.51801,                 1.2309,                0.88751,                 1.0909,               0.001783,               0.001783,               0.001783
                     86,                  1.097,                0.78978,                 1.0317,                0.82163,                0.69194,                0.77315,                0.51811,                 1.2313,                0.88703,                 1.0909,               0.001684,               0.001684,               0.001684
                     87,                 1.0952,                0.78647,                 1.0313,                0.82533,                0.69249,                0.77364,                0.51822,                 1.2308,                0.88618,                 1.0911,               0.001585,               0.001585,               0.001585
                     88,                 1.0883,                0.78303,                 1.0299,                0.82555,                0.69192,                0.77294,                0.51784,                 1.2307,                0.88638,                 1.0914,               0.001486,               0.001486,               0.001486
                     89,                 1.0946,                0.78056,                 1.0296,                0.82892,                0.69103,                0.77361,                0.51829,                 1.2304,                0.88628,                 1.0909,               0.001387,               0.001387,               0.001387
                     90,                 1.0897,                0.77866,                 1.0303,                0.82976,                0.69176,                0.77374,                0.51874,                 1.2308,                0.88686,                 1.0913,               0.001288,               0.001288,               0.001288
                     91,                 1.0856,                0.75151,                 1.0204,                 0.8267,                0.69206,                0.77356,                0.51826,                 1.2317,                0.88691,                 1.0912,               0.001189,               0.001189,               0.001189
                     92,                 1.0739,                0.73608,                 1.0158,                0.82297,                0.69546,                 0.7737,                0.51828,                 1.2313,                0.88573,                 1.0911,                0.00109,                0.00109,                0.00109
                     93,                 1.0697,                0.73216,                 1.0167,                0.82312,                0.69367,                 0.7735,                0.51846,                 1.2305,                0.88527,                  1.091,               0.000991,               0.000991,               0.000991
                     94,                 1.0662,                0.72829,                  1.013,                 0.8225,                0.69359,                0.77324,                0.51817,                 1.2305,                0.88485,                 1.0908,               0.000892,               0.000892,               0.000892
                     95,                 1.0626,                0.72287,                 1.0118,                0.82197,                0.69417,                0.77382,                0.51815,                 1.2304,                0.88364,                 1.0908,               0.000793,               0.000793,               0.000793
                     96,                 1.0588,                0.71905,                 1.0097,                0.82262,                0.69389,                0.77387,                0.51801,                 1.2308,                0.88372,                 1.0911,               0.000694,               0.000694,               0.000694
                     97,                 1.0557,                0.71706,                 1.0095,                0.82225,                0.69317,                0.77387,                0.51794,                 1.2307,                 0.8834,                  1.091,               0.000595,               0.000595,               0.000595
                     98,                 1.0533,                0.71175,                 1.0062,                0.82457,                0.69278,                0.77436,                0.51819,                 1.2313,                0.88301,                 1.0912,               0.000496,               0.000496,               0.000496
                     99,                 1.0498,                0.71113,                 1.0082,                0.82803,                0.68956,                0.77416,                0.51794,                 1.2315,                0.88303,                 1.0915,               0.000397,               0.000397,               0.000397
                    100,                 1.0468,                0.70564,                  1.003,                0.82656,                0.69065,                0.77388,                0.51787,                 1.2315,                0.88301,                 1.0918,               0.000298,               0.000298,               0.000298
